triplet_name,shape_name,RT
type_2,pale_cross.png,3137.002
type_2,pink_purple_asterix.png,1911.8189
type_2,lime_moon.png,1814.7677
type_3,turquoise_cross.png,1695.4596
type_3,lila_stick.png,1782.84
type_3,grey_arrow.png,1724.2627
type_1,turquoisedark_yes.png,1728.0156
type_1,burgundy_spaka.png,1735.0564
type_1,orange_square.png,1488.3312
type_1,blue_triangle.png,1602.4236
type_1,fuxia_flag.png,1550.2274
type_1,black_arrow.png,1190.133
type_2,pale_cross.png,1248.4339
type_2,green_pentagonn.png,1308.3992
type_2,brown_diamond.png,1438.3788
type_3,turquoise_cross.png,1160.1299
type_3,sonce_lok.png,1235.7655
type_3,oceanblue_splash.png,1141.5181
type_1,blue_triangle.png,1131.3642
type_1,burgundy_spaka.png,1379.9104
type_1,purple_circle.png,1283.3294
type_1,turquoisedark_yes.png,1163.8726
type_1,fuxia_flag.png,1095.102
type_1,pink_hourglass.png,1042.0897
type_2,frog_kot.png,905.955
type_2,green_pentagonn.png,1098.0561
type_2,brown_diamond.png,1171.8003
type_2,frog_kot.png,1216.2122
type_2,pink_purple_asterix.png,1226.6956
type_2,lime_moon.png,1154.1109
type_3,turquoise_cross.png,1383.791
type_3,lila_stick.png,1063.6152
type_3,yellow_srp.png,1084.3496
type_3,turquoise_cross.png,1354.9534
type_3,sonce_lok.png,1192.4845
type_3,red_heart.png,1365.5311
type_1,blue_triangle.png,1321.1429
type_1,burgundy_spaka.png,1513.0994
type_1,purple_circle.png,1289.365
type_3,turquoise_cross.png,1243.957
type_3,sonce_lok.png,1072.6718
type_3,oceanblue_splash.png,1087.4809
type_2,frog_kot.png,1336.1163
type_2,green_pentagonn.png,1154.2966
type_2,brown_diamond.png,1349.4267
type_2,pale_cross.png,1299.5787
type_2,green_pentagonn.png,978.7979
type_2,brown_diamond.png,1025.5116
type_3,turquoise_cross.png,987.6249999
type_3,lila_stick.png,975.3784999
type_3,yellow_srp.png,1270.859
type_2,frog_kot.png,1176.5329
type_2,pink_purple_asterix.png,1241.2605
type_2,lime_moon.png,1179.2497
type_3,turquoise_cross.png,1109.9284
type_3,sonce_lok.png,1045.4735
type_3,red_heart.png,1073.6464
type_1,blue_triangle.png,973.4879
type_1,fuxia_flag.png,992.0669
type_1,black_arrow.png,1212.3755
type_1,turquoisedark_yes.png,1077.474
type_1,burgundy_spaka.png,1138.9881
type_1,orange_square.png,1474.3028
type_3,turquoise_cross.png,1352.4984
type_3,lila_stick.png,1007.3111
type_3,grey_arrow.png,1090.0054
type_2,pale_cross.png,1237.6612
type_2,pink_purple_asterix.png,963.4146
type_2,lime_moon.png,1558.7294
type_1,turquoisedark_yes.png,913.2117
type_1,fuxia_flag.png,792.7674
type_1,pink_hourglass.png,960.7479
type_1,turquoisedark_yes.png,1070.1203
type_1,fuxia_flag.png,1020.9832
type_1,pink_hourglass.png,1240.2661
type_3,turquoise_cross.png,942.3748001
type_3,lila_stick.png,1196.4701
type_3,yellow_srp.png,977.6072999
type_3,turquoise_cross.png,850.5779
type_3,sonce_lok.png,1179.953
type_3,red_heart.png,1098.4445
type_2,pale_cross.png,1135.5706
type_2,green_pentagonn.png,1010.2918
type_2,brown_diamond.png,1067.0158
type_1,blue_triangle.png,962.8853999
type_1,fuxia_flag.png,1053.9
type_1,black_arrow.png,845.5641001
type_2,frog_kot.png,749.6551001
type_2,pink_purple_asterix.png,855.7208
type_2,lime_moon.png,805.1233001
type_2,pale_cross.png,989.7227
type_2,pink_purple_asterix.png,758.3621
type_2,lime_moon.png,1048.1144
type_2,frog_kot.png,884.0251
type_2,green_pentagonn.png,826.1290001
type_2,brown_diamond.png,834.2543
type_1,turquoisedark_yes.png,895.5899
type_1,burgundy_spaka.png,856.9894
type_1,orange_square.png,912.3517999
type_3,turquoise_cross.png,857.9463999
type_3,lila_stick.png,809.5038
type_3,grey_arrow.png,763.593
type_3,turquoise_cross.png,995.4094
type_3,sonce_lok.png,1054.4996
type_3,oceanblue_splash.png,855.4532001
type_1,blue_triangle.png,916.4448
type_1,burgundy_spaka.png,907.1291999
type_1,purple_circle.png,897.4978999
type_3,turquoise_cross.png,865.5921
type_3,lila_stick.png,1095.3532
type_3,yellow_srp.png,824.2311999
type_1,blue_triangle.png,841.9554001
type_1,fuxia_flag.png,844.0108
type_1,black_arrow.png,1248.5298
type_3,turquoise_cross.png,1065.5
type_3,sonce_lok.png,1085.9823
type_3,oceanblue_splash.png,895.8760999
type_1,blue_triangle.png,843.8558
type_1,burgundy_spaka.png,857.8388001
type_1,purple_circle.png,839.1384999
type_3,turquoise_cross.png,880.9692999
type_3,lila_stick.png,970.596
type_3,grey_arrow.png,853.5389999
type_2,frog_kot.png,815.2335
type_2,green_pentagonn.png,895.2976
type_2,brown_diamond.png,877.8943
type_3,turquoise_cross.png,887.7314
type_3,sonce_lok.png,1007.9591
type_3,red_heart.png,939.5453
type_2,frog_kot.png,896.0295999
type_2,pink_purple_asterix.png,1019.4576
type_2,lime_moon.png,840.3367001
